                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79714,                 4.4477,                0.43584,                0.90969,                 1.1312,                0.91417,                0.74313,                0.89239,                0.77887,                0.66145,                0.52326,                0.50296,                0.13321,                0.58751,                 4.5141,                0.32443,                0.96275,                0.97299,                0.00042,                0.00042,                0.00042
                      2,                0.86764,                 4.2444,                 0.3878,                0.72307,                 1.1968,                0.54078,                0.89535,                0.82758,                0.64731,                0.13344,                0.22093,                0.05278,                0.00935,                0.81999,                 5.8869,                0.76214,                 3.5904,                 1.2493,             0.00085432,             0.00085432,             0.00085432
                      3,                0.90737,                 4.5008,                0.36446,                0.74084,                 1.1573,                0.78542,                0.88372,                0.86633,                0.61964,                0.47835,                0.34884,                0.35783,                0.11297,                 1.0519,                 5.2619,                 0.6925,                 1.6406,                  1.304,              0.0012828,              0.0012828,              0.0012828
                      4,                0.93473,                 4.3111,                 0.3726,                0.77314,                 1.1721,                0.74378,                0.70884,                0.80091,                0.52538,                0.43705,                0.36047,                0.22597,                0.06768,                 1.0915,                 5.1911,                0.38246,                 2.6041,                 1.4166,              0.0017055,              0.0017055,              0.0017055
                      5,                0.90715,                 4.4761,                0.36072,                0.70964,                 1.1558,                0.75004,                0.82558,                0.88555,                0.62774,                0.39898,                0.43023,                0.28605,                0.05796,                 1.0916,                 5.1119,                0.36629,                 1.6864,                 1.4211,              0.0019472,              0.0019472,              0.0019472
                      6,                0.93468,                 4.4229,                0.36025,                0.74764,                 1.1879,                  0.899,                0.86047,                  0.909,                0.66715,                0.54652,                0.45349,                0.39205,                0.12936,                 1.0809,                 5.0882,                0.22806,                 1.7339,                 1.4751,               0.001934,               0.001934,               0.001934
                      7,                0.91589,                 4.3753,                0.35852,                 0.7345,                  1.158,                0.83781,                0.94186,                0.94978,                0.72098,                0.68587,                0.61628,                0.55914,                0.13436,                0.86378,                 4.6722,                0.32465,                0.93967,                 1.2185,              0.0019208,              0.0019208,              0.0019208
                      8,                0.86471,                 4.2294,                0.34444,                0.66663,                 1.1261,                0.84811,                0.90902,                0.94182,                0.77806,                0.74229,                0.55814,                0.58324,                0.15139,                0.74656,                 4.4745,                0.20477,                0.72057,                 1.0842,              0.0019076,              0.0019076,              0.0019076
                      9,                0.85078,                  4.101,                0.33835,                0.66648,                 1.1263,                0.81292,                0.88372,                 0.9432,                0.73173,                0.60054,                0.46512,                 0.4254,                0.11991,                0.80476,                 4.7579,                0.19358,                0.80786,                 1.0875,              0.0018944,              0.0018944,              0.0018944
                     10,                0.84045,                 4.0756,                0.32451,                0.65303,                 1.1254,                0.84723,                0.90286,                0.93743,                0.70412,                0.70036,                0.46512,                0.44252,                0.11972,                0.98561,                 4.7415,                0.23356,                0.75467,                 1.2557,              0.0018812,              0.0018812,              0.0018812
