                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0401,                 2.6725,                0.28059,                 1.0222,                 1.3584,                      1,                0.97987,                  0.995,                0.90842,                      1,                0.97987,                  0.995,                0.73897,                0.34822,                 1.2967,                 0.1285,                0.29903,                0.82673,                 0.0001,                 0.0001,                 0.0001
                      2,                 0.8807,                 2.9727,                0.26448,                0.82817,                  1.243,                0.99619,                      1,                  0.995,                0.78625,                0.99619,                      1,                  0.995,                0.69293,                0.71845,                 1.5833,                0.12115,                0.44232,                 1.0366,             0.00021855,             0.00021855,             0.00021855
                      3,                0.80485,                 2.8452,                0.23053,                0.66455,                 1.1106,                0.94705,                      1,                0.99326,                0.89462,                0.94705,                      1,                0.99326,                0.62743,                 0.5104,                 1.6792,                0.09581,                0.43753,                0.93998,             0.00033551,             0.00033551,             0.00033551
                      4,                0.86418,                 2.7879,                0.23831,                0.72007,                 1.1589,                0.99647,                      1,                  0.995,                0.82864,                0.90573,                0.90909,                0.89357,                0.34681,                0.58619,                 2.4475,                0.13486,                0.53007,                  1.008,             0.00045089,             0.00045089,             0.00045089
                      5,                0.78702,                 2.6098,                0.23083,                0.69902,                 1.1331,                      1,                0.99553,                  0.995,                0.85813,                0.95442,                0.95182,                0.93591,                0.40272,                0.51282,                 2.2724,                0.12801,                0.56232,                0.95616,             0.00056469,             0.00056469,             0.00056469
                      6,                0.80979,                 2.7661,                 0.2246,                0.63964,                 1.1441,                0.90696,                0.95455,                0.91944,                0.77231,                0.90696,                0.95455,                0.91944,                0.52293,                 0.6884,                 2.2024,                  0.227,                0.63127,                  1.128,              0.0006769,              0.0006769,              0.0006769
                      7,                0.76335,                 3.1036,                0.23501,                0.62831,                 1.1196,                0.95226,                0.95455,                 0.9464,                0.79413,                0.99766,                      1,                  0.995,                0.39582,                0.70797,                 2.5134,                0.10156,                0.68539,                 1.1383,             0.00078753,             0.00078753,             0.00078753
                      8,                0.75613,                 3.6659,                0.23846,                0.66814,                 1.1016,                0.94199,                0.95455,                0.93625,                0.80072,                0.80605,                0.81818,                0.68612,                0.19266,                0.67306,                 3.7034,                0.13604,                0.59481,                 1.0304,             0.00089657,             0.00089657,             0.00089657
                      9,                0.87094,                 3.0677,                0.25623,                0.74673,                 1.1735,                0.89929,                0.95455,                0.90967,                0.75796,                0.94255,                      1,                0.99109,                0.43679,                0.71045,                  2.758,                0.24863,                0.77666,                  1.063,               0.001004,               0.001004,               0.001004
                     10,                0.87942,                 2.9555,                0.25397,                0.68404,                 1.1829,                0.94747,                0.95455,                0.92887,                0.81187,                0.94747,                0.95455,                0.93086,                0.49453,                0.63895,                 2.7403,                0.06986,                0.92116,                0.99358,              0.0011099,              0.0011099,              0.0011099
                     11,                0.78945,                 3.2156,                0.22824,                 0.6215,                 1.1466,                0.95003,                0.95455,                0.93469,                  0.794,                0.95003,                0.95455,                0.94432,                0.48253,                0.65917,                 2.7251,                0.05717,                0.94328,                 1.0859,              0.0012142,              0.0012142,              0.0012142
                     12,                0.81666,                 3.3421,                0.25981,                0.68546,                 1.1126,                0.94486,                0.95455,                 0.9384,                0.77238,                0.98985,                      1,                  0.995,                0.41409,                0.72694,                  2.936,                0.06757,                0.66899,                 1.1087,              0.0013169,              0.0013169,              0.0013169
                     13,                0.84471,                 3.3507,                0.24025,                0.68335,                 1.1521,                 0.8625,                      1,                0.96371,                0.71745,                 0.8625,                      1,                0.96371,                0.27426,                0.73937,                 3.4577,                0.10553,                 1.0119,                 1.0993,               0.001418,               0.001418,               0.001418
                     14,                0.81801,                 3.1927,                0.20661,                0.65932,                 1.1049,                0.83141,                0.90909,                0.92277,                 0.6649,                0.83141,                0.90909,                0.92277,                0.31679,                 1.0325,                 3.3833,                0.08783,                 1.6415,                 1.3782,              0.0015176,              0.0015176,              0.0015176
                     15,                0.84186,                 3.7355,                0.22869,                0.70021,                  1.163,                0.91564,                0.90909,                0.94544,                0.65702,                0.96425,                0.95455,                0.99326,                0.34253,                0.95416,                 3.3803,                0.09802,                 1.5457,                 1.3259,              0.0016155,              0.0016155,              0.0016155
                     16,                0.86942,                 3.4172,                0.22405,                0.70364,                  1.168,                0.72517,                0.77273,                0.75099,                0.43045,                0.58243,                0.63636,                0.55178,                 0.1475,                  1.549,                 3.9451,                0.50986,                 2.4811,                  1.882,              0.0017119,              0.0017119,              0.0017119
                     17,                0.84632,                 3.8296,                0.22846,                0.71409,                 1.1582,                0.81213,                0.86364,                0.93233,                0.55953,                0.29236,                0.31818,                 0.1308,                0.03958,                  1.059,                 4.5364,                0.67497,                 2.2302,                 1.3368,              0.0017888,              0.0017888,              0.0017888
                     18,                0.84225,                 3.6174,                0.23737,                0.66399,                 1.1133,                0.86504,                0.87441,                0.93774,                0.69335,                0.42533,                0.50479,                0.29073,                0.05594,                 1.0165,                 4.9569,                0.13408,                 1.8367,                 1.3891,              0.0017756,              0.0017756,              0.0017756
