                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82028,                 4.5614,                0.47957,                0.89151,                 1.1653,                0.68276,                0.92771,                 0.8874,                0.72218,                0.60145,                0.37931,                0.41492,                0.13653,                0.69432,                 4.6829,                0.70215,                0.77202,                0.97852,                0.00028,                0.00028,                0.00028
                      2,                0.79222,                 4.1456,                0.37367,                0.68052,                 1.1173,                0.83159,                0.85143,                0.90452,                0.70894,                0.55219,                0.67241,                0.53889,                0.15482,                0.77492,                 4.0753,                0.52949,                0.93683,                 1.1097,             0.00057617,             0.00057617,             0.00057617
                      3,                0.80551,                 4.3376,                0.37887,                0.69906,                 1.1145,                0.83965,                0.81255,                0.89648,                0.65834,                0.75329,                0.56897,                0.61728,                 0.1783,                0.90201,                 4.4442,                0.41697,                 1.1903,                 1.2081,             0.00086838,             0.00086838,             0.00086838
                      4,                 0.8551,                 4.5558,                0.37006,                0.76129,                 1.1555,                0.87799,                0.77586,                0.84696,                0.66192,                0.65596,                0.51724,                0.44663,                0.12098,                0.84406,                 4.8611,                0.51849,                 1.4333,                 1.1841,              0.0011566,              0.0011566,              0.0011566
                      5,                0.97259,                 4.8425,                 0.3613,                0.81556,                  1.204,                 0.8055,                0.81034,                0.87865,                 0.6997,                0.52628,                    0.5,                0.42911,                0.09735,                0.84843,                 4.7033,                 0.3543,                 1.2702,                 1.1591,              0.0014409,              0.0014409,              0.0014409
                      6,                0.85128,                 4.1349,                0.36554,                0.71746,                 1.1628,                 0.7932,                0.77586,                0.87047,                0.59858,                0.58765,                0.53448,                0.52586,                0.14812,                0.94774,                 4.3932,                0.43436,                  1.592,                 1.1964,              0.0017213,              0.0017213,              0.0017213
                      7,                0.94493,                 4.4477,                0.35094,                0.73702,                 1.1675,                0.72015,                0.88743,                0.84849,                0.59092,                0.26716,                0.27586,                0.12365,                0.02814,                0.95598,                 5.8567,                0.22492,                 1.9003,                 1.1947,              0.0019208,              0.0019208,              0.0019208
                      8,                0.91012,                 4.4976,                0.35855,                0.71823,                  1.156,                0.74464,                0.81034,                0.84641,                0.62391,                0.31635,                0.32759,                 0.1908,                0.06164,                0.93589,                 5.8224,                0.27526,                 1.4892,                 1.1481,              0.0019076,              0.0019076,              0.0019076
                      9,                0.88167,                  4.372,                0.35373,                0.68002,                 1.1506,                0.84446,                0.67241,                0.73339,                0.57505,                0.56297,                0.44828,                0.38919,                0.11225,                0.92007,                  5.096,                0.25695,                 1.7966,                 1.1533,              0.0018944,              0.0018944,              0.0018944
                     10,                0.84767,                 4.2644,                0.36252,                0.67858,                 1.1075,                0.72209,                0.77586,                0.77385,                 0.5801,                0.38547,                0.41379,                0.19667,                0.05729,                0.89568,                 4.9871,                0.24213,                 2.5665,                 1.1498,              0.0018812,              0.0018812,              0.0018812
